"","string","filename","name"
"1","Abrocoma boliviensis_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Abrocoma boliviensis_aoh.tif","Abrocoma boliviensis"
"2","Abrothrix sanborni_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Abrothrix sanborni_aoh.tif","Abrothrix sanborni"
"3","Acinonyx jubatus_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Acinonyx jubatus_aoh.tif","Acinonyx jubatus"
"4","Addax nasomaculatus_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Addax nasomaculatus_aoh.tif","Addax nasomaculatus"
"5","Aegialomys galapagoensis_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Aegialomys galapagoensis_aoh.tif","Aegialomys galapagoensis"
"6","Aepeomys reigi_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Aepeomys reigi_aoh.tif","Aepeomys reigi"
"7","Akodon siberiae_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Akodon siberiae_aoh.tif","Akodon siberiae"
"8","Akodon surdus_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Akodon surdus_aoh.tif","Akodon surdus"
"9","Alouatta belzebul_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Alouatta belzebul_aoh.tif","Alouatta belzebul"
"10","Alouatta discolor_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Alouatta discolor_aoh.tif","Alouatta discolor"
"11","Alouatta pigra_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Alouatta pigra_aoh.tif","Alouatta pigra"
"12","Alouatta ululata_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Alouatta ululata_aoh.tif","Alouatta ululata"
"13","Ammospermophilus nelsoni_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Ammospermophilus nelsoni_aoh.tif","Ammospermophilus nelsoni"
"14","Ammotragus lervia_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Ammotragus lervia_aoh.tif","Ammotragus lervia"
"15","Amorphochilus schnablii_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Amorphochilus schnablii_aoh.tif","Amorphochilus schnablii"
"16","Anotomys leander_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Anotomys leander_aoh.tif","Anotomys leander"
